Obs,Shark_ID,lon,lat,Month,Day,Year,Season
257,34203,-79.61629314,31.02676492,12,21,2010,Cold
258,34203,-79.50095324,30.96908604,12,22,2010,Cold
259,34203,-79.24763272,30.82417051,12,23,2010,Cold
260,34203,-78.93640061,30.63276242,12,24,2010,Cold
261,34203,-78.66409757,30.4267046,12,25,2010,Cold
262,34203,-78.4430184,30.22198414,12,26,2010,Cold
263,34203,-78.25794037,30.01808456,12,27,2010,Cold
264,34203,-78.09673111,29.81459252,12,28,2010,Cold
265,34203,-77.94687517,29.61107778,12,29,2010,Cold
266,68485,-79.04175705,27.08634444,2,20,2011,Cold
267,68485,-79.13419514,26.92977674,2,21,2011,Cold
268,68485,-79.3161688,26.96221007,2,22,2011,Cold
269,68485,-79.50918426,27.13183663,2,23,2011,Cold
270,68485,-79.63040927,27.37873475,2,24,2011,Cold
271,68485,-79.59813012,27.64557997,2,25,2011,Cold
272,68485,-79.34219735,27.87438229,2,26,2011,Cold
273,68485,-79.18861686,27.98554628,2,27,2011,Cold
274,68485,-79.14329398,27.89481673,2,28,2011,Cold
275,68485,-78.95539978,27.75379107,3,1,2011,Cold
276,68485,-78.92924836,27.53584298,3,2,2011,Cold
277,68485,-79.0904865,27.31663188,3,3,2011,Cold
278,68485,-79.3508307,27.16899255,3,4,2011,Cold
279,68485,-79.56530836,27.07677569,3,5,2011,Cold
280,68485,-79.62478334,27.03402225,3,6,2011,Cold
281,68485,-79.55001547,27.03294535,3,7,2011,Cold
282,68485,-79.40550799,27.05197784,3,8,2011,Cold
283,68485,-79.24317702,27.07359263,3,9,2011,Cold
284,68485,-79.11401995,27.08046199,3,10,2011,Cold
285,68485,-79.01675563,27.07581029,3,11,2011,Cold
286,68485,-78.95061641,27.0626292,3,12,2011,Cold
287,68485,-78.91483465,27.04390931,3,13,2011,Cold
288,68485,-78.90864271,27.02264201,3,14,2011,Cold
289,68485,-78.93127295,27.00182061,3,15,2011,Cold
290,68485,-78.97547352,26.98410127,3,16,2011,Cold
291,68485,-79.05630097,26.96931231,3,17,2011,Cold
292,68485,-78.99939766,26.99535483,3,18,2011,Cold
293,68485,-78.90041716,27.03834786,3,19,2011,Cold
294,68485,-78.84303324,27.06959144,3,20,2011,Cold
295,68485,-78.87534599,27.07116138,3,21,2011,Cold
296,68485,-79.01989361,27.03375925,3,22,2011,Cold
297,68485,-79.08965383,26.98908335,3,23,2011,Cold
298,68485,-78.93669425,26.9578379,3,24,2011,Cold
299,68485,-78.78073788,26.89864289,3,25,2011,Cold
300,68485,-78.77670137,26.77678008,3,26,2011,Cold
301,68485,-79.01709778,26.57895281,3,27,2011,Cold
302,68485,-79.18322785,26.36559067,3,28,2011,Cold
303,68485,-78.88280325,26.25156838,3,29,2011,Cold
304,68485,-78.95000445,26.07867595,3,30,2011,Cold
305,68485,-78.76747632,26.09422397,3,31,2011,Cold
306,68485,-78.59414259,26.3497509,4,1,2011,Cold
307,68485,-78.84477466,26.45775277,4,2,2011,Cold
308,68485,-78.9508614,26.39685649,4,3,2011,Cold
309,68485,-78.67490862,26.4130734,4,4,2011,Cold
310,68485,-78.75590579,26.37619125,4,5,2011,Cold
311,68485,-78.51005242,26.4761446,4,6,2011,Cold
312,68485,-78.57914257,26.50005683,4,7,2011,Cold
313,68485,-78.23349811,26.40736933,4,8,2011,Cold
314,68485,-78.21037722,26.20376182,4,9,2011,Cold
315,68485,-78.11508519,26.17609522,4,10,2011,Cold
316,68485,-78.23591918,26.2919426,4,11,2011,Cold
317,68485,-78.48187284,26.46284448,4,12,2011,Cold
318,68485,-78.68518804,26.33672514,4,13,2011,Cold
319,68485,-78.76165645,26.26969601,4,14,2011,Cold
320,68485,-78.57972458,26.39696482,4,15,2011,Cold
321,68485,-78.01723026,26.39166346,4,16,2011,Cold
322,68485,-77.64438697,26.29828073,4,17,2011,Cold
323,68485,-77.78669593,26.20915999,4,18,2011,Cold
324,68485,-77.8413182,26.33878752,4,19,2011,Cold
325,68485,-78.08571275,26.59480826,4,20,2011,Cold
326,68485,-78.63283858,26.47255345,4,21,2011,Cold
327,68485,-78.95237554,26.17789824,4,22,2011,Cold
328,68485,-79.24801708,26.39298607,4,23,2011,Cold
329,68485,-79.32633099,26.71475837,4,24,2011,Cold
330,68485,-79.47800194,27.20800765,4,25,2011,Cold
331,68485,-79.77689506,28.12172177,4,26,2011,Cold
332,68485,-80.00200296,28.5511488,4,27,2011,Cold
333,68485,-79.44022209,28.95618636,4,28,2011,Cold
334,68485,-78.62886948,29.26185854,4,29,2011,Cold
335,68485,-78.10270917,29.68912661,4,30,2011,Cold
336,68485,-78.072526,30.38220692,5,1,2011,Warm
337,68485,-78.16055237,30.9334673,5,2,2011,Warm
338,68485,-78.18469203,31.57734942,5,3,2011,Warm
339,68485,-77.62921371,32.47799268,5,4,2011,Warm
340,68485,-77.9510486,32.93436421,5,5,2011,Warm
341,68485,-78.30333836,32.9096356,5,6,2011,Warm
342,68485,-78.64056523,32.60109665,5,7,2011,Warm
343,68485,-78.62636693,32.02730558,5,8,2011,Warm
344,68485,-77.54361473,32.09765154,5,9,2011,Warm
345,68485,-77.39359509,32.80962288,5,10,2011,Warm
346,68485,-77.28739293,33.51102174,5,11,2011,Warm
347,68485,-77.25267207,33.78708742,5,12,2011,Warm
348,68485,-76.79312532,34.01190966,5,13,2011,Warm
349,68485,-76.59541449,34.15443957,5,14,2011,Warm
350,68485,-75.99679865,34.46993194,5,15,2011,Warm
351,68485,-75.17844033,34.97708072,5,16,2011,Warm
352,68485,-75.35102248,34.81946741,5,17,2011,Warm
353,68485,-75.33397292,34.64638819,5,18,2011,Warm
354,68485,-75.83145108,34.42317387,5,19,2011,Warm
355,68485,-76.21960838,34.17346827,5,20,2011,Warm
356,68485,-76.62070736,33.81897151,5,21,2011,Warm
357,68485,-77.16962852,33.42817191,5,22,2011,Warm
358,68485,-77.70006059,33.13378902,5,23,2011,Warm
359,68485,-78.36796385,32.98359697,5,24,2011,Warm
360,68486,-79.1379353,26.9669896,3,19,2011,Cold
361,68486,-79.15904185,26.95056637,3,20,2011,Cold
362,68486,-79.16015929,27.01423512,3,21,2011,Cold
363,68486,-79.16757035,27.02631795,3,22,2011,Cold
364,68486,-79.17567027,27.0365231,3,23,2011,Cold
365,68486,-79.17922898,27.09020019,3,24,2011,Cold
366,68486,-79.17607452,27.07588223,3,25,2011,Cold
367,68486,-79.19947624,27.20940453,3,26,2011,Cold
368,68486,-79.23677239,27.00057626,3,27,2011,Cold
369,68486,-79.09311808,27.20721673,3,28,2011,Cold
370,68486,-79.14132965,27.22929947,3,29,2011,Cold
371,68486,-79.87365961,27.81073682,3,30,2011,Cold
372,68486,-80.45808479,28.47757927,3,31,2011,Cold
373,68486,-80.07315749,29.47202425,4,1,2011,Cold
374,68486,-79.45246943,29.8589289,4,2,2011,Cold
375,68486,-79.06346903,29.31402854,4,3,2011,Cold
376,68486,-79.67541065,29.41321525,4,4,2011,Cold
377,68486,-80.25050091,30.09711796,4,5,2011,Cold
378,68486,-80.97217848,30.36958377,4,6,2011,Cold
379,68486,-81.2007255,30.3849795,4,7,2011,Cold
380,68486,-80.455487,30.50071659,4,8,2011,Cold
381,68486,-79.26650613,30.33036964,4,9,2011,Cold
382,68486,-79.53190019,30.9136451,4,10,2011,Cold
383,68486,-79.51209846,32.0115342,4,11,2011,Cold
384,68486,-79.51579439,31.92216785,4,12,2011,Cold
385,68486,-79.50768637,31.86901608,4,13,2011,Cold
386,68486,-79.4787145,31.97360636,4,14,2011,Cold
